           t;          pp;         Mop;          Ms;         nsr;          ns
   3.6000000; 176.2470000;  14.6096777;  14.6095685;1001.7140050;1002.5312804
   3.6200000; 176.2435725;  14.6093936;  14.6092057;1003.0859950;1002.5145181
   3.6400000; 176.2491450;  14.6098555;  14.6096683;1003.2000000;1002.4952729
   3.6600000; 176.2478550;  14.6097486;  14.6098458;1001.7140050;1002.4973200
   3.6800000; 176.2461376;  14.6096062;  14.6096413;1003.0859950;1002.5026836
   3.7000000; 176.2654275;  14.6112053;  14.6108392;1003.2000000;1002.4758395
   3.7200000; 176.2825725;  14.6126265;  14.6126012;1001.7140050;1002.4631057
   3.7400000; 176.2830000;  14.6126619;  14.6129749;1003.0859950;1002.4854948
   3.7600000; 176.2710000;  14.6116672;  14.6119435;1003.2000000;1002.5150576
   3.7800000; 176.2727174;  14.6118095;  14.6116001;1001.7140050;1002.5071792
   3.8000000; 176.2641450;  14.6110989;  14.6112256;1003.0859950;1002.5110555
   3.8200000; 176.2474275;  14.6097132;  14.6098870;1003.2000000;1002.5281024
   3.8400000; 176.2435725;  14.6093936;  14.6091884;1001.7140050;1002.5179422
   3.8600000; 176.2495725;  14.6098910;  14.6096702;1003.0859950;1002.4957116
   3.8800000; 176.2478550;  14.6097486;  14.6098557;1003.2000000;1002.4975742
   3.9000000; 176.2512826;  14.6100327;  14.6099740;1001.7140050;1002.4960785
   3.9200000; 176.2654275;  14.6112053;  14.6110027;1003.0859950;1002.4789131
   3.9400000; 176.2740000;  14.6119159;  14.6119839;1003.2000000;1002.4779611
   3.9600000; 176.2735725;  14.6118804;  14.6120641;1001.7140050;1002.4934237
   3.9800000; 176.2671450;  14.6113476;  14.6114825;1003.0859950;1002.5087295
   4.0000000; 176.2611450;  14.6108503;  14.6108556;1003.2000000;1002.5131023

     kp;     Tc;     Tz;   nzad;       Iz
  0.340;  0.018;  0.001;   1003; 0.002544
